child,parent
G03E,G03
G03,G
G03XX01,G03XX
G03XX,G03X
G03X,G03
A14AA07,A14AA
A14AA,A14A
A14A,A14
A14,A
B02BX08,B02BX
B02BX,B02B
B02B,B02
B02,B
C01BD07,C01BD
C01BD,C01B
C01B,C01
J01DD01,J01DD
J01DD,J01D
J01D,J01
J01,J
J,Drug
N04BX02,N04BX
N04BX,N04B
N04B,N04
N04,N
N,Drug
L02BB01,L02BB
L02BB,L02B
L02B,L02
L02,L
B01AA02,B01AA
B01AA,B01A
B01A,B01
B01,B
L01EM02,L01EM
L01EA03,L01EA
L01EA,L01E
A10BH02,A10BH
A10BH,A10B
A10BD08,A10BD
H03AA01,H03AA
H03AA,H03A
H03A,H03
H03,H
H,Drug
R01AX08,R01AX
R01AX,R01A
R01A,R01
R01,R
D09AA01,D09AA
D09AA,D09A
D09A,D09
D09,D
S01AA07,S01AA
S01AA,S01A
S01A,S01
M01AB02,M01AB
M01AB,M01A
M01A,M01
M01,M
M,Drug
N02AB02,N02AB
N02AB,N02A
N02A,N02
N02,N
N02AB52,N02AB
N02AB72,N02AB
N02AG03,N02AG
N02AG,N02A
D05BB02,D05BB
D05BB,D05B
D05B,D05
D05,D
C02CA01,C02CA
C02CA,C02C
C02C,C02
C02,C
C02LE01,C02LE
C02LE,C02L
C02L,C02
N06AA02,N06AA
N06AA,N06A
N06A,N06
N06,N
B02BD30,B02BD
B02BD,B02B
B02BC06,B02BC
B02BC,B02B
V04CX09,V04CX
V04CX,V04C
V04C,V04
V04,V
N06AF02,N06AF
N06AF,N06A
M01AX01,M01AX
M01AX,M01A
M01AB15,M01AB
S01FB51,S01FB
S01FB,S01F
S01F,S01
S01BC05,S01BC
